,prev2,prev1,WORD_ORC,next1,next2,WORD_TRUE,SAME
20280,on,transportatlon,of,natural,on,tax,True
20281,transportatlon,of,natural,on,may,on,True
20282,of,natural,on,may,the,senator,True
20283,natural,on,may,the,major,lowell,True
20284,on,may,the,major,ollcy,weicker,True
20285,may,the,major,ollcy,dlrectlons,chemical,True
20286,the,major,ollcy,dlrectlons,and,cma,False
20287,major,ollcy,dlrectlons,and,many,advocacy,False
20288,ollcy,dlrectlons,and,many,of,and,True
20289,dlrectlons,and,many,of,the,liaison,True
20290,and,many,of,the,detalls,with,True
20291,many,of,the,detalls,of,other,True
20292,of,the,detalls,of,the,industry,True
20293,the,detalls,of,the,approa,groups,True
20294,detalls,of,the,approa,h,is,True
20295,of,the,approa,h,for,reiterating,False
20296,the,approa,h,for,separate,opposition,False
20297,approa,h,for,separate,of,to,True
20298,h,for,separate,of,and,any,True
20299,for,separate,of,and,hlghiprlced,additional,True
20300,separate,of,and,hlghiprlced,ate,tax,True
20301,of,and,hlghiprlced,ate,equal,on,False
20302,and,hlghiprlced,ate,equal,access,federal,True
20303,hlghiprlced,ate,equal,access,to,energy,True
20304,ate,equal,access,to,outer,regulatory,True
20305,equal,access,to,outer,contlnental,commission,True
20306,access,to,outer,contlnental,shelf,proposed,True
20307,to,outer,contlnental,shelf,gas,a,False
20308,outer,contlnental,shelf,gas,and,major,True
20309,contlnental,shelf,gas,and,urged,rule,True
20310,shelf,gas,and,urged,further,with,True
20311,gas,and,urged,further,the,respect,True
20312,and,urged,further,the,c,to,True
20313,urged,further,the,c,remental,cma,True
20314,further,the,c,remental,prlclng,joined,False
20315,the,c,remental,prlclng,program,a,True
20316,c,remental,prlclng,program,for,broad,False
20317,remental,prlclng,program,for,a,coalition,True
20318,prlclng,program,for,a,deflnlte,of,True
20319,program,for,a,deflnlte,perlod,industrial,True
20320,for,a,deflnlte,perlod,of,users,True
20321,a,deflnlte,perlod,of,f,in,True
20322,deflnlte,perlod,of,f,the,submitting,True
20323,perlod,of,f,the,test,investment,False
20324,of,f,the,test,should,tax,True
20325,f,the,test,should,remaln,credit,True
20326,the,test,should,remaln,the,and,True
20327,test,should,remaln,the,basls,accelerated,False
20328,should,remaln,the,basls,for,cost,True
20329,remaln,the,basls,for,chang,recovery,True
20330,the,basls,for,chang,fn,system,True
20331,basls,for,chang,fn,the,o,True
20332,for,chang,fn,the,allocatlon,the,False
20333,chang,fn,the,allocatlon,of,limit,True
20334,fn,the,allocatlon,of,jnterest,on,False
20335,the,allocatlon,of,jnterest,the,foreign,True
20336,allocatlon,of,jnterest,the,budget,tax,False
20337,of,jnterest,the,budget,resolutlon,determining,True
20338,jnterest,the,budget,resolutlon,have,the,True
20339,the,budget,resolutlon,have,undercut,source,True
20340,budget,resolutlon,have,undercut,support,of,True
20341,resolutlon,have,undercut,support,for,income,True
20342,have,undercut,support,for,his,for,True
20343,undercut,support,for,his,tax,exports,True
20344,support,for,his,tax,unde,and,True
20345,for,his,tax,unde,these,similar,True
20346,his,tax,unde,these,congress,committee,False
20347,tax,unde,these,congress,could,chairman,True
20348,unde,these,congress,could,have,bob,True
20349,these,congress,could,have,greater,packwood,True
20350,congress,could,have,greater,latltude,argued,True
20351,could,have,greater,latltude,nema,that,True
20352,have,greater,latltude,nema,standard,the,True
20353,greater,latltude,nema,standard,procedure,unity,True
20354,latltude,nema,standard,procedure,for,will,True
20355,nema,standard,procedure,for,evaluatlng,increase,True
20356,standard,procedure,for,evaluatlng,ground,cma,True
20357,procedure,for,evaluatlng,ground,fault,continues,False
20358,for,evaluatlng,ground,fault,clrcult,to,True
20359,evaluatlng,ground,fault,clrcult,has,coordinate,True
20360,ground,fault,clrcult,has,endorsed,its,True
20361,fault,clrcult,has,endorsed,nelther,standard,True
20362,clrcult,has,endorsed,nelther,am,in,True
20363,has,endorsed,nelther,am,has,our,False
20364,endorsed,nelther,am,has,supported,the,True
20365,nelther,am,has,supported,generally,test,True
20366,am,has,supported,generally,t,procedure,True
20367,has,supported,generally,t,sad,should,True
20368,supported,generally,t,sad,jolnt,be,False
20369,generally,t,sad,jolnt,and,further,True
20370,t,sad,jolnt,and,several,will,False
20371,sad,jolnt,and,several,liability,be,True
20372,jolnt,and,several,liability,for,replaced,True
20373,and,several,liability,for,cleanup,by,True
20374,several,liability,for,cleanup,under,a,True
20375,liability,for,cleanup,under,the,waste,True
20376,for,cleanup,under,the,the,volume,True
20377,cleanup,under,the,the,was,tax,True
20378,under,the,the,was,signed,effective,True
20379,the,the,was,signed,qnto,a,True
20380,the,was,signed,qnto,law,tax,True
20381,was,signed,qnto,law,nn,on,False
20382,signed,qnto,law,nn,industry,hazardous,True
20383,qnto,law,nn,industry,succeeded,waste,True
20384,law,nn,industry,succeeded,on,generated,True
20385,nn,industry,succeeded,on,securlng,in,True
20386,industry,succeeded,on,securlng,several,vermont,True
20387,succeeded,on,securlng,several,destructlon,took,False
20388,on,securlng,several,destructlon,of,effect,True
20389,securlng,several,destructlon,of,solld,joint,False
20390,several,destructlon,of,solld,or,and,True
20391,destructlon,of,solld,or,hazardous,several,True
20392,of,solld,or,hazardous,another,liability,True
20393,solld,or,hazardous,another,provlslon,for,True
20394,or,hazardous,another,provlslon,prevents,cleanup,True
20395,hazardous,another,provlslon,prevents,local,under,False
20396,another,provlslon,prevents,local,per,the,True
20397,provlslon,prevents,local,per,the,the,True
20398,prevents,local,per,the,generatlon,was,True
20399,local,per,the,generatlon,and,signed,True
20400,per,the,generatlon,and,faclllty,into,True
20401,the,generatlon,and,faclllty,fund,law,True
20402,generatlon,and,faclllty,fund,rz,in,True
20403,and,faclllty,fund,rz,not,industry,True
20404,faclllty,fund,rz,not,to,succeeded,False
20405,fund,rz,not,to,exceed,in,True
20406,rz,not,to,exceed,the,securing,True
20407,not,to,exceed,the,places,several,True
20408,to,exceed,the,places,a,governments,True
20409,exceed,the,places,a,sin,from,True
20410,the,places,a,sin,mllllon,adopting,True
20411,places,a,sin,mllllon,cap,a,True
20412,a,sin,mllllon,cap,on,rule,False
20413,sin,mllllon,cap,on,the,or,True
20414,mllllon,cap,on,the,fund,ordinance,True
20415,cap,on,the,fund,at,that,True
20416,on,the,fund,at,the,is,True
20417,the,fund,at,the,cleanup,inconsistent,True
20418,fund,at,the,cleanup,publlc,with,True
20419,at,the,cleanup,publlc,compensatlon,fs,True
20420,the,cleanup,publlc,compensatlon,p,cma,True
20421,cleanup,publlc,compensatlon,p,repeal,djodts,False
20422,publlc,compensatlon,p,repeal,of,per,False
20423,compensatlon,p,repeal,of,the,the,True
20424,p,repeal,of,the,causatlon,generation,True
20425,repeal,of,the,causatlon,clause,and,True
20426,of,the,causatlon,clause,whlch,facility,False
20427,the,causatlon,clause,whlch,requlred,fund,True
20428,causatlon,clause,whlch,requlred,a,is,True
20429,clause,whlch,requlred,a,defendant,not,False
20430,whlch,requlred,a,defendant,o,to,True
20431,requlred,a,defendant,o,repeal,exceed,True
20432,a,defendant,o,repeal,of,appropriated,False
20433,defendant,o,repeal,of,the,for,True
20434,o,repeal,of,the,jolnt,the,True
20435,repeal,of,the,jolnt,and,match,True
20436,of,the,jolnt,and,several,for,False
20437,the,jolnt,and,several,liability,cercla,True
20438,jolnt,and,several,liability,cma,and,True
20439,and,several,liability,cma,arvgka,for,True
20440,several,liability,cma,arvgka,whlch,whichever,True
20441,liability,cma,arvgka,whlch,would,is,False
20442,cma,arvgka,whlch,would,be,program,True
20443,arvgka,whlch,would,be,applled,but,True
20444,whlch,would,be,applled,m,did,True
20445,would,be,applled,m,addltlonal,not,True
20446,be,applled,m,addltlonal,permlt,provide,False
20447,applled,m,addltlonal,permlt,staff,significantly,False
20448,m,addltlonal,permlt,staff,and,more,True
20449,addltlonal,permlt,staff,and,the,exposure,True
20450,permlt,staff,and,the,reduces,to,True
20451,staff,and,the,reduces,the,the,True
20452,and,the,reduces,the,volume,of,True
20453,the,reduces,the,volume,of,toxic,True
20454,reduces,the,volume,of,hazardous,chemicals,True
20455,the,volume,of,hazardous,waste,in,True
20456,volume,of,hazardous,waste,dlsposed,california,True
20457,of,hazardous,waste,dlsposed,of,and,True
20458,hazardous,waste,dlsposed,of,tn,minimizing,False
20459,waste,dlsposed,of,tn,another,long,True
20460,dlsposed,of,tn,another,management,term,True
20461,of,tn,another,management,technologles,key,True
20462,tn,another,management,technologles,that,developing,True
20463,another,management,technologles,that,are,new,False
20464,management,technologles,that,are,consldered,technology,True
20465,technologles,that,are,consldered,economlcally,for,True
20466,that,are,consldered,economlcally,effectlve,treating,False
20467,are,consldered,economlcally,effectlve,and,additional,False
20468,consldered,economlcally,effectlve,and,landfllllng,short,False
20469,economlcally,effectlve,and,landfllllng,or,term,True
20470,effectlve,and,landfllllng,or,other,the,False
20471,and,landfllllng,or,other,means,commission,True
20472,landfllllng,or,other,means,of,said,True
20473,or,other,means,of,land,it,True
20474,other,means,of,land,raising,will,True
20475,means,of,land,raising,the,sponsor,True
20476,of,land,raising,the,tax,or,True
20477,land,raising,the,tax,from,recommend,True
20478,raising,the,tax,from,the,legislation,True
20479,the,tax,from,the,flrst,to,True
20480,tax,from,the,flrst,m,proposal,True
20481,from,the,flrst,m,voluntarlly,would,True
20482,the,flrst,m,voluntarlly,wlthdraw,create,False
20483,flrst,m,voluntarlly,wlthdraw,thls,a,False
20484,m,voluntarlly,wlthdraw,thls,authorlty,state,False
20485,voluntarlly,wlthdraw,thls,authorlty,hlth,certification,True
20486,wlthdraw,thls,authorlty,hlth,the,process,True
20487,thls,authorlty,hlth,the,program,for,False
20488,authorlty,hlth,the,program,epa,hazardous,True
20489,hlth,the,program,epa,found,waste,True
20490,the,program,epa,found,the,that,True
20491,program,epa,found,the,state,increased,True
20492,epa,found,the,state,lacklng,the,True
20493,found,the,state,lacklng,authorlty,contingency,True
20494,the,state,lacklng,authorlty,m,fund,False
20495,state,lacklng,authorlty,m,admlnlster,and,True
20496,lacklng,authorlty,m,admlnlster,the,placed,False
20497,authorlty,m,admlnlster,the,program,a,False
20498,m,admlnlster,the,program,after,fixed,True
20499,admlnlster,the,program,after,state,limit,True
20500,the,program,after,state,the,on,True
20501,program,after,state,the,lssues,at,True
20502,after,state,the,lssues,of,a,True
20503,state,the,lssues,of,chemlcal,the,True
20504,the,lssues,of,chemlcal,hazard,tax,True
20505,lssues,of,chemlcal,hazard,unformatlon,increases,True
20506,of,chemlcal,hazard,unformatlon,dlsclosure,from,True
20507,chemlcal,hazard,unformatlon,dlsclosure,tn,to,False
20508,hazard,unformatlon,dlsclosure,tn,the,although,True
20509,unformatlon,dlsclosure,tn,the,workplace,iowa,True
20510,dlsclosure,tn,the,workplace,and,was,True
20511,tn,the,workplace,and,the,one,True
20512,the,workplace,and,the,communlty,of,True
20513,workplace,and,the,communlty,and,the,True
20514,and,the,communlty,and,local,first,True
20515,the,communlty,and,local,emergency,states,True
20516,communlty,and,local,emergency,response,to,True
20517,and,local,emergency,response,seven,receive,True
20518,local,emergency,response,seven,addltlonal,interim,True
20519,emergency,response,seven,addltlonal,states,through,True
20520,response,seven,addltlonal,states,have,the,False
20521,seven,addltlonal,states,have,passed,end,True
20522,addltlonal,states,have,passed,laws,of,True
20523,states,have,passed,laws,whlch,over,True
20524,have,passed,laws,whlch,make,iaz,True
20525,passed,laws,whlch,make,mlnor,bills,True
20526,laws,whlch,make,mlnor,nndustry,have,True
20527,whlch,make,mlnor,nndustry,beglns,been,False
20528,make,mlnor,nndustry,beglns,to,session,False
20529,mlnor,nndustry,beglns,to,force,the,False
20530,nndustry,beglns,to,force,states,task,True
20531,beglns,to,force,states,to,group,True
20532,to,force,states,to,recognlze,is,True
20533,force,states,to,recognlze,the,beginning,True
20534,states,to,recognlze,the,federal,to,False
20535,to,recognlze,the,federal,osha,assess,True
20536,recognlze,the,federal,osha,standard,the,True
20537,the,federal,osha,standard,preemptlon,nwul,True
20538,federal,osha,standard,preemptlon,over,state,True
20539,osha,standard,preemptlon,over,state,legislative,False
20540,standard,preemptlon,over,state,as,session,True
20541,preemptlon,over,state,as,applies,by,True
20542,over,state,as,applies,to,reviewing,True
20543,state,as,applies,to,oral,the,True
20544,as,applies,to,oral,arguments,legislation,True
20545,applies,to,oral,arguments,and,that,True
20546,to,oral,arguments,and,communlty,has,True
20547,oral,arguments,and,communlty,rlghtitoiknow,in,True
20548,arguments,and,communlty,rlghtitoiknow,no,the,True
20549,and,communlty,rlghtitoiknow,no,actlon,states,False
20550,communlty,rlghtitoiknow,no,actlon,has,which,True
20551,rlghtitoiknow,no,actlon,has,occurred,incorporate,True
20552,no,actlon,has,occurred,on,policy,True
20553,actlon,has,occurred,on,thls,in,True
20554,has,occurred,on,thls,sum,this,True
20555,occurred,on,thls,sum,as,an,True
20556,on,thls,sum,as,thls,update,True
20557,thls,sum,as,thls,separate,of,True
20558,sum,as,thls,separate,leglslatlon,and,True
20559,as,thls,separate,leglslatlon,will,community,True
20560,thls,separate,leglslatlon,will,be,no,False
20561,separate,leglslatlon,will,be,untroduced,action,True
20562,leglslatlon,will,be,untroduced,that,has,True
20563,will,be,untroduced,that,will,occurred,False
20564,be,untroduced,that,will,focus,on,True
20565,untroduced,that,will,focus,solely,this,True
20566,that,will,focus,solely,washlngton,suit,True
20567,will,focus,solely,washlngton,busmess,as,True
20568,focus,solely,washlngton,busmess,on,environmental,False
20569,solely,washlngton,busmess,on,upcomlng,protection,True
20570,washlngton,busmess,on,upcomlng,testlmony,to,True
20571,busmess,on,upcomlng,testlmony,on,test,False
20572,on,upcomlng,testlmony,on,proposed,a,False
20573,upcomlng,testlmony,on,proposed,drlnklng,well,True
20574,testlmony,on,proposed,drlnklng,water,for,True
20575,on,proposed,drlnklng,water,aspects,potential,False
20576,proposed,drlnklng,water,aspects,of,funds,True
20577,drlnklng,water,aspects,of,the,group,True
20578,water,aspects,of,the,hazardous,recently,True
20579,aspects,of,the,hazardous,materlals,participated,True
20580,of,the,hazardous,materlals,transportatlon,in,True
20581,the,hazardous,materlals,transportatlon,the,the,True
20582,hazardous,materlals,transportatlon,the,board,national,False
20583,materlals,transportatlon,the,board,would,conference,True
20584,transportatlon,the,board,would,routes,of,True
20585,the,board,would,routes,for,state,True
20586,board,would,routes,for,class,washington,True
20587,would,routes,for,class,a,business,True
20588,routes,for,class,a,or,on,True
20589,for,class,a,or,b,upcoming,True
20590,class,a,or,b,some,testimony,True
20591,a,or,b,some,poison,on,False
20592,or,b,some,poison,organlc,proposed,True
20593,b,some,poison,organlc,transported,drinking,True
20594,some,poison,organlc,transported,as,water,False
20595,poison,organlc,transported,as,well,hazardous,True
20596,organlc,transported,as,well,as,materials,True
20597,transported,as,well,as,addltlonal,in,True
20598,as,well,as,addltlonal,appllcants,new,True
20599,well,as,addltlonal,appllcants,must,york,False
20600,as,addltlonal,appllcants,must,deslgnate,failed,False
20601,addltlonal,appllcants,must,deslgnate,a,to,True
20602,appllcants,must,deslgnate,a,contlnulng,gain,False
20603,must,deslgnate,a,contlnulng,to,the,True
20604,deslgnate,a,contlnulng,to,work,shipments,False
20605,a,contlnulng,to,work,mm,of,True
20606,contlnulng,to,work,mm,members,hazardous,True
20607,to,work,mm,members,of,materials,True
20608,work,mm,members,of,the,to,True
20609,mm,members,of,the,good,use,True
20610,members,of,the,good,samarltan,a,True
20611,of,the,good,samarltan,coalltlon,bypass,True
20612,the,good,samarltan,coalltlon,to,around,True
20613,good,samarltan,coalltlon,to,promote,the,False
20614,samarltan,coalltlon,to,promote,north,city,True
20615,coalltlon,to,promote,north,carollna,and,True
20616,to,promote,north,carollna,and,permits,True
20617,promote,north,carollna,and,georgla,but,False
20618,north,carollna,and,georgla,to,the,True
20619,carollna,and,georgla,to,expand,permit,False
20620,and,georgla,to,expand,exlstlng,mechanism,True
20621,georgla,to,expand,exlstlng,leglslatlon,will,True
20622,to,expand,exlstlng,leglslatlon,to,result,False
20623,expand,exlstlng,leglslatlon,to,cover,in,False
20624,exlstlng,leglslatlon,to,cover,whlch,better,True
20625,leglslatlon,to,cover,whlch,requlre,emergency,True
20626,to,cover,whlch,requlre,certaln,state,True
20627,cover,whlch,requlre,certaln,manufactures,the,False
20628,whlch,requlre,certaln,manufactures,m,two,True
20629,requlre,certaln,manufactures,m,consolldate,issues,True
20630,certaln,manufactures,m,consolldate,all,receiving,False
20631,manufactures,m,consolldate,all,state,the,True
20632,m,consolldate,all,state,and,most,True
20633,consolldate,all,state,and,the,scrutiny,True
20634,all,state,and,the,a,at,True
20635,state,and,the,a,system,local,True
20636,and,the,a,system,xp,air,True
20637,the,a,system,xp,belng,emissions,True
20638,a,system,xp,belng,establlshed,permits,False
20639,system,xp,belng,establlshed,to,and,False
20640,xp,belng,establlshed,to,closely,provide,False
20641,belng,establlshed,to,closely,monltor,them,True
20642,establlshed,to,closely,monltor,the,to,True
20643,to,closely,monltor,the,leglslatlve,the,True
20644,closely,monltor,the,leglslatlve,and,in,True
20645,monltor,the,leglslatlve,and,regulatory,legislation,False
20646,the,leglslatlve,and,regulatory,actlvltles,was,True
20647,leglslatlve,and,regulatory,actlvltles,wn,passed,True
20648,and,regulatory,actlvltles,wn,speclflc,which,False
20649,regulatory,actlvltles,wn,speclflc,mgmpnonty,requires,True
20650,actlvltles,wn,speclflc,mgmpnonty,states,air,False
20651,wn,speclflc,mgmpnonty,states,and,emissions,False
20652,speclflc,mgmpnonty,states,and,speclflc,and,True
20653,mgmpnonty,states,and,speclflc,chemlcal,in,True
20654,states,and,speclflc,chemlcal,research,groups,False
20655,and,speclflc,chemlcal,research,and,are,True
20656,speclflc,chemlcal,research,and,advocacy,closely,True
20657,chemlcal,research,and,advocacy,allyl,monitoring,True
20658,research,and,advocacy,allyl,the,these,True
20659,and,advocacy,allyl,the,program,management,True
20660,advocacy,allyl,the,program,panel,focus,True
20661,allyl,the,program,panel,declded,on,True
20662,the,program,panel,declded,m,a,True
20663,program,panel,declded,m,dlsband,cma,True
20664,panel,declded,m,dlsband,after,air,False
20665,declded,m,dlsband,after,xy,toxics,False
20666,m,dlsband,after,xy,years,work,True
20667,dlsband,after,xy,years,rule,the,False
20668,after,xy,years,rule,scheduled,state,True
20669,xy,years,rule,scheduled,to,regulation,True
20670,years,rule,scheduled,to,be,by,True
20671,rule,scheduled,to,be,publlshed,epa,True
20672,scheduled,to,be,publlshed,by,is,True
20673,to,be,publlshed,by,epa,possible,True
20674,be,publlshed,by,epa,yn,under,True
20675,publlshed,by,epa,yn,november,the,True
20676,by,epa,yn,november,analytlcal,clean,False
20677,epa,yn,november,analytlcal,and,air,True
20678,yn,november,analytlcal,and,toxlcology,informed,False
20679,november,analytlcal,and,toxlcology,laboratorles,epa,True
20680,analytlcal,and,toxlcology,laboratorles,were,that,False
20681,and,toxlcology,laboratorles,were,also,it,False
20682,toxlcology,laboratorles,were,also,arranged,questions,True
20683,laboratorles,were,also,arranged,for,the,True
20684,were,also,arranged,for,the,authority,True
20685,also,arranged,for,the,the,to,True
20686,arranged,for,the,the,semlnar,require,True
20687,for,the,the,semlnar,was,manufacturers,True
20688,the,the,semlnar,was,extremely,to,True
20689,the,semlnar,was,extremely,successful,analyze,True
20690,semlnar,was,extremely,successful,and,products,True
20691,was,extremely,successful,and,provlded,for,True
20692,extremely,successful,and,provlded,the,trace,True
20693,successful,and,provlded,the,panel,they,True
20694,and,provlded,the,panel,ethylhexanolc,indicated,True
20695,provlded,the,panel,ethylhexanolc,the,a,True
20696,the,panel,ethylhexanolc,the,eba,analytical,True
20697,panel,ethylhexanolc,the,eba,panel,parameters,True
20698,ethylhexanolc,the,eba,panel,submltted,for,False
20699,the,eba,panel,submltted,comments,a,True
20700,eba,panel,submltted,comments,on,test,True
20701,panel,submltted,comments,on,the,the,True
20702,submltted,comments,on,the,proposed,analytical,True
20703,comments,on,the,proposed,annual,task,True
20704,on,the,proposed,annual,publlcatlon,group,True
20705,the,proposed,annual,publlcatlon,detalls,information,True
20706,proposed,annual,publlcatlon,detalls,all,on,False
20707,annual,publlcatlon,detalls,all,research,potential,True
20708,publlcatlon,detalls,all,research,funded,the,True
20709,detalls,all,research,funded,by,panel,True
20710,all,research,funded,by,the,is,True
20711,research,funded,by,the,panel,sponsoring,True
20712,funded,by,the,panel,on,a,True
20713,by,the,panel,on,ozone,survey,True
20714,the,panel,on,ozone,in,of,True
20715,panel,on,ozone,in,a,research,True
20716,on,ozone,in,a,mmp,program,True
20717,ozone,in,a,mmp,calllng,on,True
20718,in,a,mmp,calllng,for,effect,False
20719,a,mmp,calllng,for,further,of,False
20720,mmp,calllng,for,further,study,chlorofluorocarbons,True
20721,calllng,for,further,study,to,on,True
20722,for,further,study,to,epa,the,True
20723,further,study,to,epa,plans,this,True
20724,study,to,epa,plans,to,in,True
20725,to,epa,plans,to,announce,the,True
20726,epa,plans,to,announce,declslon,panel,True
20727,plans,to,announce,declslon,on,submitted,True
20728,to,announce,declslon,on,testlng,comments,False
20729,announce,declslon,on,testlng,needs,to,True
20730,declslon,on,testlng,needs,jn,epa,False
20731,on,testlng,needs,jn,the,on,True
20732,testlng,needs,jn,the,for,four,False
20733,needs,jn,the,for,testlng,draft,True
20734,jn,the,for,testlng,by,address,True
20735,the,for,testlng,by,the,both,False
20736,for,testlng,by,the,mp,and,True
20737,testlng,by,the,mp,executlve,is,True
20738,by,the,mp,executlve,testlng,being,False
20739,the,mp,executlve,testlng,commlttee,a,False
20740,mp,executlve,testlng,commlttee,of,to,False
20741,executlve,testlng,commlttee,of,prlorlty,organize,True
20742,testlng,commlttee,of,prlorlty,chemlcals,workshops,True
20743,commlttee,of,prlorlty,chemlcals,recommended,to,False
20744,of,prlorlty,chemlcals,recommended,for,be,True
20745,prlorlty,chemlcals,recommended,for,testlng,held,True
20746,chemlcals,recommended,for,testlng,under,within,True
20747,recommended,for,testlng,under,the,the,False
20748,for,testlng,under,the,ketones,next,True
20749,testlng,under,the,ketones,panel,the,True
20750,under,the,ketones,panel,members,national,True
20751,the,ketones,panel,members,met,toxicology,True
20752,ketones,panel,members,met,hlth,program,True
20753,panel,members,met,hlth,epa,has,True
20754,members,met,hlth,epa,sclentlsts,three,False
20755,met,hlth,epa,sclentlsts,sn,glycol,True
20756,hlth,epa,sclentlsts,sn,june,ethers,False
20757,epa,sclentlsts,sn,june,to,and,False
20758,sclentlsts,sn,june,to,dlscuss,their,True
20759,sn,june,to,dlscuss,dlfferences,respective,True
20760,june,to,dlscuss,dlfferences,un,acetates,False
20761,to,dlscuss,dlfferences,un,xnterpretatlon,under,False
20762,dlscuss,dlfferences,un,xnterpretatlon,of,review,True
20763,dlfferences,un,xnterpretatlon,of,the,as,False
20764,un,xnterpretatlon,of,the,mutagenlclty,candidate,True
20765,xnterpretatlon,of,the,mutagenlclty,test,chemicals,True
20766,of,the,mutagenlclty,test,data,for,False
20767,the,mutagenlclty,test,data,on,testing,True
20768,mutagenlclty,test,data,on,mek,in,True
20769,test,data,on,mek,and,the,True
20770,data,on,mek,and,mm,the,True
20771,on,mek,and,mm,gathered,panel,True
20772,mek,and,mm,gathered,as,is,True
20773,and,mm,gathered,as,part,maintaining,True
20774,mm,gathered,as,part,of,a,True
20775,gathered,as,part,of,a,close,True
20776,as,part,of,a,negotlated,liaison,True
20777,part,of,a,negotlated,testlng,with,True
20778,of,a,negotlated,testlng,the,ntp,False
20779,a,negotlated,testlng,the,have,and,False
20780,negotlated,testlng,the,have,been,will,True
20781,testlng,the,have,been,submltted,panel,True
20782,the,have,been,submltted,to,considers,True
20783,have,been,submltted,to,epa,the,True
20784,been,submltted,to,epa,under,ten,True
20785,submltted,to,epa,under,a,mutagenicity,True
20786,to,epa,under,a,crbw,tests,True
20787,epa,under,a,crbw,agreement,to,True
20788,under,a,crbw,agreement,mm,indicate,False
20789,a,crbw,agreement,mm,the,no,True
20790,crbw,agreement,mm,the,the,need,True
20791,agreement,mm,the,the,dlsperslon,for,True
20792,mm,the,the,dlsperslon,study,further,True
20793,the,the,dlsperslon,study,of,an,False
20794,the,dlsperslon,study,of,the,aquatic,True
20795,dlsperslon,study,of,the,panel,chronic,True
20796,study,of,the,panel,bh,effects,True
20797,of,the,panel,bh,gnterested,study,True
20798,the,panel,bh,gnterested,un,of,False
20799,panel,bh,gnterested,un,usmg,octylphenol,False
20800,bh,gnterested,un,usmg,the,in,True
20801,gnterested,un,usmg,the,and,rainbow,False
20802,un,usmg,the,and,bernard,the,True
20803,usmg,the,and,bernard,astlll,this,True
20804,the,and,bernard,astlll,of,test,True
20805,and,bernard,astlll,of,eastman,the,True
20806,bernard,astlll,of,eastman,kodak,report,True
20807,astlll,of,eastman,kodak,company,of,True
20808,of,eastman,kodak,company,made,the,True
20809,eastman,kodak,company,made,products,research,True
20810,kodak,company,made,products,probably,was,True
20811,company,made,products,probably,less,new,True
20812,made,products,probably,less,than,liquefied,True
20813,products,probably,less,than,one,gaseous,True
20814,probably,less,than,one,on,fuels,True
20815,less,than,one,on,one,spill,True
20816,than,one,on,one,hundred,test,True
20817,one,on,one,hundred,accordlng,facility,True
20818,on,one,hundred,accordlng,to,to,True
20819,one,hundred,accordlng,to,exposure,evaluate,False
20820,hundred,accordlng,to,exposure,astlll,various,True
20821,accordlng,to,exposure,astlll,emphaslzed,being,True
20822,to,exposure,astlll,emphaslzed,that,constructed,True
20823,exposure,astlll,emphaslzed,that,there,at,False
20824,astlll,emphaslzed,that,there,vq,the,True
20825,emphaslzed,that,there,vq,overwhelmlng,doe,True
20826,that,there,vq,overwhelmlng,evldence,nevada,False
20827,there,vq,overwhelmlng,evldence,that,test,False
20828,vq,overwhelmlng,evldence,that,deep,phthalate,False
20829,overwhelmlng,evldence,that,deep,jh,on,True
20830,evldence,that,deep,jh,not,behalf,True
20831,that,deep,jh,not,a,of,False
20832,deep,jh,not,a,genotoxlc,the,True
20833,jh,not,a,genotoxlc,mechanlsm,phthalate,True
20834,not,a,genotoxlc,mechanlsm,of,esters,True
20835,a,genotoxlc,mechanlsm,of,whlle,safety,False
20836,genotoxlc,mechanlsm,of,whlle,not,the,True
20837,mechanlsm,of,whlle,not,would,scientists,True
20838,of,whlle,not,would,result,addressed,True
20839,whlle,not,would,result,mn,three,True
20840,not,would,result,mn,m,key,True
20841,would,result,mn,m,proposed,issues,True
20842,result,mn,m,proposed,rule,concerning,False
20843,mn,m,proposed,rule,will,released,True
20844,m,proposed,rule,will,prescrlbe,it,True
20845,proposed,rule,will,prescrlbe,substantlally,for,True
20846,rule,will,prescrlbe,substantlally,more,public,False
20847,will,prescrlbe,substantlally,more,testlng,the,False
20848,prescrlbe,substantlally,more,testlng,than,report,True
20849,substantlally,more,testlng,than,was,concludes,False
20850,more,testlng,than,was,agreed,that,True
20851,testlng,than,was,agreed,to,dehp,True
20852,than,was,agreed,to,atlanta,is,True
20853,was,agreed,to,atlanta,and,a,True
20854,agreed,to,atlanta,and,over,titanium,True
20855,to,atlanta,and,over,ngvv,the,True
20856,atlanta,and,over,ngvv,carr,national,True
20857,and,over,ngvv,carr,coordlnators,cancer,False
20858,over,ngvv,carr,coordlnators,and,institute,True
20859,ngvv,carr,coordlnators,and,plant,has,True
20860,carr,coordlnators,and,plant,and,begun,True
20861,coordlnators,and,plant,and,caer,a,True
20862,and,plant,and,caer,the,virginia,True
20863,plant,and,caer,the,communlcatlons,manufacturers,True
20864,and,caer,the,communlcatlons,department,association,True
20865,caer,the,communlcatlons,department,wy,and,True
20866,the,communlcatlons,department,wy,maklng,the,True
20867,communlcatlons,department,wy,maklng,these,michigan,False
20868,department,wy,maklng,these,companles,chemical,False
20869,wy,maklng,these,companles,are,industry,True
20870,maklng,these,companles,are,amplementung,brochures,True
20871,these,companles,are,amplementung,the,and,True
20872,companles,are,amplementung,the,program,a,False
20873,are,amplementung,the,program,qd,slide,True
